Wavelength,I,Incrament,,Ambient air
409.5166,0.40422,,,
409.51665,0.40413,,,
409.5167,0.40427,,,
409.51675,0.40423,,,
409.5168,0.40414,,,
409.51685,0.40431,,,
409.5169,0.40422,,,
409.51695,0.40421,,,
409.517,0.40432,,,
409.51705,0.40411,,,
409.5171,0.40432,,,
409.51715,0.40423,,,
409.5172,0.40448,,,
409.51725,0.40416,,,
409.5173,0.40422,,,
409.51735,0.40441,,,
409.5174,0.40415,,,
409.51745,0.40427,,,
409.5175,0.40425,,,
409.51755,0.40441,,,
409.5176,0.40438,,,
409.51765,0.40422,,,
409.5177,0.40455,,,
409.51775,0.40425,,,
409.5178,0.40423,,,
409.51785,0.4041,,,
409.5179,0.40423,,,
409.51795,0.40427,,,
409.518,0.4042,,,
409.51805,0.40426,,,
409.5181,0.40421,,,
409.51815,0.40461,,,
409.5182,0.40414,,,
409.51825,0.40405,,,
409.5183,0.40432,,,
409.51835,0.40414,,,
409.5184,0.40432,,,
409.51845,0.40434,,,
409.5185,0.40428,,,
409.51855,0.40448,,,
409.5186,0.40432,,,
409.51865,0.4041,,,
409.5187,0.40398,,,
409.51875,0.40466,,,
409.5188,0.404,,,
409.51885,0.40408,,,
409.5189,0.40402,,,
409.51895,0.40415,,,
409.519,0.40417,,,
409.51905,0.40443,,,
409.5191,0.40436,,,
409.51915,0.4045,,,
409.5192,0.40419,,,
409.51925,0.40427,,,
409.5193,0.40417,,,
409.51935,0.40431,,,
409.5194,0.4043,,,
409.51945,0.40414,,,
409.5195,0.40438,,,
409.51955,0.40426,,,
409.5196,0.4041,,,
409.51965,0.40413,,,
409.5197,0.40426,,,
409.51975,0.40425,,,
409.5198,0.40415,,,
409.51985,0.40441,,,
409.5199,0.40421,,,
409.51995,0.40415,,,
409.52,0.40432,,,
409.52005,0.4042,,,
409.5201,0.40416,,,
409.52015,0.40426,,,
409.5202,0.40425,,,
409.52025,0.40448,,,
409.5203,0.40455,,,
409.52035,0.40413,,,
409.5204,0.40437,,,
409.52045,0.4041,,,
409.5205,0.4041,,,
409.52055,0.40433,,,
409.5206,0.40411,,,
409.52065,0.40436,,,
409.5207,0.40427,,,
409.52075,0.4042,,,
409.5208,0.40434,,,
409.52085,0.40408,,,
409.5209,0.40431,,,
409.52095,0.40416,,,
409.521,0.40434,,,
409.52105,0.40414,,,
409.5211,0.40444,,,
409.52115,0.4042,,,
409.5212,0.4041,,,
409.52125,0.40425,,,
409.5213,0.4043,,,
409.52135,0.40419,,,
409.5214,0.40408,,,
409.52145,0.40442,,,
409.5215,0.40419,,,
409.52155,0.40411,,,
409.5216,0.40423,,,
409.52165,0.4041,,,
409.5217,0.40408,,,
409.52175,0.40416,,,
409.5218,0.40408,,,
409.52185,0.40438,,,
409.5219,0.40425,,,
409.52195,0.4042,,,
409.522,0.40416,,,
409.52205,0.40419,,,
409.5221,0.40415,,,
409.52215,0.40419,,,
409.5222,0.40421,,,
409.52225,0.40436,,,
409.5223,0.40408,,,
409.52235,0.40413,,,
409.5224,0.40404,,,
409.52245,0.40432,,,
409.5225,0.40441,,,
409.52255,0.40419,,,
409.5226,0.40447,,,
409.52265,0.40443,,,
409.5227,0.40394,,,
409.52275,0.40421,,,
409.5228,0.40408,,,
409.52285,0.40426,,,
409.5229,0.40406,,,
409.52295,0.40425,,,
409.523,0.40427,,,
409.52305,0.40406,,,
409.5231,0.40399,,,
409.52315,0.40426,,,
409.5232,0.40434,,,
409.52325,0.40421,,,
409.5233,0.40408,,,
409.52335,0.40426,,,
409.5234,0.40438,,,
409.52345,0.40422,,,
409.5235,0.40432,,,
409.52355,0.40408,,,
409.5236,0.40426,,,
409.52365,0.4042,,,
409.5237,0.40426,,,
409.52375,0.40399,,,
409.5238,0.40427,,,
409.52385,0.40454,,,
409.5239,0.40434,,,
409.52395,0.40426,,,
409.524,0.40415,,,
409.52405,0.40417,,,
409.5241,0.40438,,,
409.52415,0.40419,,,
409.5242,0.40417,,,
409.52425,0.40427,,,
409.5243,0.40434,,,
409.52435,0.40422,,,
409.5244,0.4042,,,
409.52445,0.40399,,,
409.5245,0.40402,,,
409.52455,0.40415,,,
409.5246,0.40409,,,
409.52465,0.40405,,,
409.5247,0.40413,,,
409.52475,0.40405,,,
409.5248,0.40416,,,
409.52485,0.40427,,,
409.5249,0.4042,,,
409.52495,0.40434,,,
409.525,0.40411,,,
409.52505,0.40416,,,
409.5251,0.40405,,,
409.52515,0.40405,,,
409.5252,0.40406,,,
409.52525,0.40434,,,
409.5253,0.40419,,,
409.52535,0.40414,,,
409.5254,0.40417,,,
409.52545,0.40417,,,
409.5255,0.40425,,,
409.52555,0.40421,,,
409.5256,0.40425,,,
409.52565,0.40436,,,
409.5257,0.40415,,,
409.52575,0.40421,,,
409.5258,0.40441,,,
409.52585,0.4041,,,
409.5259,0.40404,,,
409.52595,0.40445,,,
409.526,0.40433,,,
409.52605,0.40437,,,
409.5261,0.40411,,,
409.52615,0.40405,,,
409.5262,0.40389,,,
409.52625,0.40426,,,
409.5263,0.40415,,,
409.52635,0.40403,,,
409.5264,0.40409,,,
409.52645,0.40419,,,
409.5265,0.40445,,,
409.52655,0.40427,,,
409.5266,0.40443,,,
409.52665,0.40427,,,
409.5267,0.40398,,,
409.52675,0.40414,,,
409.5268,0.4043,,,
409.52685,0.40402,,,
409.5269,0.40402,,,
409.52695,0.40413,,,
409.527,0.40405,,,
409.52705,0.40432,,,
409.5271,0.40448,,,
409.52715,0.40427,,,
409.5272,0.4042,,,
409.52725,0.40425,,,
409.5273,0.40415,,,
409.52735,0.40409,,,
409.5274,0.40408,,,
409.52745,0.40434,,,
409.5275,0.4042,,,
409.52755,0.40408,,,
409.5276,0.40439,,,
409.52765,0.40425,,,
409.5277,0.4042,,,
409.52775,0.40404,,,
409.5278,0.4045,,,
409.52785,0.40433,,,
409.5279,0.40422,,,
409.52795,0.40422,,,
409.528,0.404,,,
409.52805,0.40433,,,
409.5281,0.40417,,,
409.52815,0.40403,,,
409.5282,0.40427,,,
409.52825,0.40398,,,
409.5283,0.4045,,,
409.52835,0.40414,,,
409.5284,0.4042,,,
409.52845,0.40423,,,
409.5285,0.404,,,
409.52855,0.40409,,,
409.5286,0.40414,,,
409.52865,0.40405,,,
409.5287,0.40417,,,
409.52875,0.40425,,,
409.5288,0.40411,,,
409.52885,0.40445,,,
409.5289,0.40423,,,
409.52895,0.40419,,,
409.529,0.40419,,,
409.52905,0.40408,,,
409.5291,0.40419,,,
409.52915,0.40405,,,
409.5292,0.40415,,,
409.52925,0.40426,,,
409.5293,0.40426,,,
409.52935,0.40398,,,
409.5294,0.40421,,,
409.52945,0.40399,,,
409.5295,0.40406,,,
409.52955,0.40404,,,
409.5296,0.4043,,,
409.52965,0.40426,,,
409.5297,0.4042,,,
409.52975,0.40413,,,
409.5298,0.40414,,,
409.52985,0.40425,,,
409.5299,0.4042,,,
409.52995,0.40402,,,
409.53,0.40414,,,
409.53005,0.40406,,,
409.5301,0.40428,,,
409.53015,0.40408,,,
409.5302,0.40414,,,
409.53025,0.40433,,,
409.5303,0.40403,,,
409.53035,0.40415,,,
409.5304,0.40413,,,
409.53045,0.40406,,,
409.5305,0.4042,,,
409.53055,0.4041,,,
409.5306,0.40398,,,
409.53065,0.40427,,,
409.5307,0.40419,,,
409.53075,0.40453,,,
409.5308,0.40411,,,
409.53085,0.40415,,,
409.5309,0.40439,,,
409.53095,0.40406,,,
409.531,0.40402,,,
409.53105,0.40422,,,
409.5311,0.40425,,,
409.53115,0.40449,,,
409.5312,0.40409,,,
409.53125,0.40415,,,
409.5313,0.40422,,,
409.53135,0.40395,,,
409.5314,0.404,,,
409.53145,0.404,,,
409.5315,0.40448,,,
409.53155,0.4041,,,
409.5316,0.40422,,,
409.53165,0.40415,,,
409.5317,0.40411,,,
409.53175,0.40413,,,
409.5318,0.40405,,,
409.53185,0.40414,,,
409.5319,0.40419,,,
409.53195,0.40421,,,
409.532,0.40411,,,
409.53205,0.40434,,,
409.5321,0.40417,,,
409.53215,0.40391,,,
409.5322,0.40426,,,
409.53225,0.40416,,,
409.5323,0.404,,,
409.53235,0.40406,,,
409.5324,0.40417,,,
409.53245,0.40402,,,
409.5325,0.40419,,,
409.53255,0.40417,,,
409.5326,0.40417,,,
409.53265,0.40423,,,
409.5327,0.40395,,,
409.53275,0.40422,,,
409.5328,0.40402,,,
409.53285,0.40409,,,
409.5329,0.40405,,,
409.53295,0.40397,,,
409.533,0.40398,,,
409.53305,0.40409,,,
409.5331,0.40389,,,
409.53315,0.40409,,,
409.5332,0.40417,,,
409.53325,0.40428,,,
409.5333,0.40384,,,
409.53335,0.40409,,,
409.5334,0.40391,,,
409.53345,0.40421,,,
409.5335,0.40414,,,
409.53355,0.4042,,,
409.5336,0.4041,,,
409.53365,0.40405,,,
409.5337,0.40399,,,
409.53375,0.40397,,,
409.5338,0.40421,,,
409.53385,0.40419,,,
409.5339,0.40436,,,
409.53395,0.40414,,,
409.534,0.40433,,,
409.53405,0.40414,,,
409.5341,0.40421,,,
409.53415,0.40392,,,
409.5342,0.40414,,,
409.53425,0.404,,,
409.5343,0.40404,,,
409.53435,0.40436,,,
409.5344,0.40409,,,
409.53445,0.40413,,,
409.5345,0.40419,,,
409.53455,0.40419,,,
409.5346,0.40411,,,
409.53465,0.40405,,,
409.5347,0.40405,,,
409.53475,0.40411,,,
409.5348,0.40403,,,
409.53485,0.4041,,,
409.5349,0.40422,,,
409.53495,0.40405,,,
409.535,0.40421,,,
409.53505,0.40408,,,
409.5351,0.40406,,,
409.53515,0.40397,,,
409.5352,0.40425,,,
409.53525,0.40397,,,
409.5353,0.40404,,,
409.53535,0.40409,,,
409.5354,0.40417,,,
409.53545,0.40423,,,
409.5355,0.40395,,,
409.53555,0.40413,,,
409.5356,0.40402,,,
409.53565,0.40414,,,
409.5357,0.40387,,,
409.53575,0.40387,,,
409.5358,0.40414,,,
409.53585,0.40405,,,
409.5359,0.40414,,,
409.53595,0.40415,,,
409.536,0.40389,,,
409.53605,0.40397,,,
409.5361,0.40397,,,
409.53615,0.40411,,,
409.5362,0.40402,,,
409.53625,0.40411,,,
409.5363,0.404,,,
409.53635,0.40431,,,
409.5364,0.40432,,,
409.53645,0.40411,,,
409.5365,0.40406,,,
409.53655,0.404,,,
409.5366,0.40397,,,
409.53665,0.40392,,,
409.5367,0.40405,,,
409.53675,0.40399,,,
409.5368,0.40391,,,
409.53685,0.40405,,,
409.5369,0.40431,,,
409.53695,0.40394,,,
409.537,0.40415,,,
409.53705,0.40425,,,
409.5371,0.40383,,,
409.53715,0.40398,,,
409.5372,0.40404,,,
409.53725,0.40414,,,
409.5373,0.40397,,,
409.53735,0.40394,,,
409.5374,0.40404,,,
409.53745,0.40426,,,
409.5375,0.40409,,,
409.53755,0.40437,,,
409.5376,0.40403,,,
409.53765,0.40399,,,
409.5377,0.40394,,,
409.53775,0.40411,,,
