Wavelength,I,step
545.49345,0.51984,
545.4935,0.51338,
545.49355,0.50301,
545.4936,0.50343,
545.49365,0.51179,
545.4937,0.50105,
545.49375,0.51167,
545.4938,0.49947,
545.49385,0.4941,
545.4939,0.50416,
545.49395,0.51441,
545.494,0.50532,
545.49405,0.49093,
545.4941,0.51063,
545.49415,0.50715,
545.4942,0.49941,
545.49425,0.50209,
545.4943,0.49081,
545.49435,0.50423,
545.4944,0.51191,
545.49445,0.50416,
545.4945,0.49123,
545.49455,0.50069,
545.4946,0.48654,
545.49465,0.48983,
545.4947,0.50008,
545.49475,0.49392,
545.4948,0.50874,
545.49485,0.47641,
545.4949,0.49562,
545.49495,0.49556,
545.495,0.48477,
545.49505,0.49343,
545.4951,0.49373,
545.49515,0.49587,
545.4952,0.48611,
545.49525,0.47409,
545.4953,0.49215,
545.49535,0.49093,
545.4954,0.47287,
545.49545,0.48574,
545.4955,0.48525,
545.49555,0.48739,
545.4956,0.46982,
545.49565,0.47214,
545.4957,0.4833,
545.49575,0.46805,
545.4958,0.47446,
545.49585,0.4672,
545.4959,0.47678,
545.49595,0.46573,
545.496,0.47196,
545.49605,0.47525,
545.4961,0.4683,
545.49615,0.47983,
545.4962,0.46476,
545.49625,0.46848,
545.4963,0.47391,
545.49635,0.47604,
545.4964,0.45683,
545.49645,0.45646,
545.4965,0.45512,
545.49655,0.45719,
545.4966,0.45829,
545.49665,0.45225,
545.4967,0.45878,
545.49675,0.46433,
545.4968,0.455,
545.49685,0.46232,
545.4969,0.44835,
545.49695,0.4514,
545.497,0.45439,
545.49705,0.44536,
545.4971,0.45262,
545.49715,0.45421,
545.4972,0.45396,
545.49725,0.45292,
545.4973,0.45012,
545.49735,0.44798,
545.4974,0.44182,
545.49745,0.44493,
545.4975,0.44237,
545.49755,0.44377,
545.4976,0.44847,
545.49765,0.45012,
545.4977,0.45286,
545.49775,0.44121,
545.4978,0.44554,
545.49785,0.44573,
545.4979,0.43694,
545.49795,0.43926,
545.498,0.43853,
545.49805,0.4392,
545.4981,0.44066,
545.49815,0.4353,
545.4982,0.44024,
545.49825,0.43737,
545.4983,0.42865,
545.49835,0.4306,
545.4984,0.43755,
545.49845,0.43737,
545.4985,0.43896,
545.49855,0.43151,
545.4986,0.43481,
545.49865,0.4317,
545.4987,0.43164,
545.49875,0.43408,
545.4988,0.43164,
545.49885,0.43359,
545.4989,0.43347,
545.49895,0.43365,
545.499,0.4334,
545.49905,0.42608,
545.4991,0.43109,
545.49915,0.42895,
545.4992,0.43286,
545.49925,0.43426,
545.4993,0.42688,
545.49935,0.42883,
545.4994,0.42755,
545.49945,0.42944,
545.4995,0.42712,
545.49955,0.42182,
545.4996,0.42883,
545.49965,0.4273,
545.4997,0.42328,
545.49975,0.4284,
545.4998,0.42694,
545.49985,0.42743,
545.4999,0.42297,
545.49995,0.42633,
545.5,0.42212,
