Wavelength,I
485.71465,0.40415
485.7147,0.40434
485.71475,0.40416
485.7148,0.40417
485.71485,0.40428
485.7149,0.40416
485.71495,0.4041
485.715,0.40423
485.71505,0.4042
485.7151,0.40414
485.71515,0.40423
485.7152,0.40426
485.71525,0.40416
485.7153,0.40423
485.71535,0.40422
485.7154,0.4042
485.71545,0.40419
485.7155,0.40428
485.71555,0.40432
485.7156,0.40417
485.71565,0.40416
485.7157,0.40425
485.71575,0.4042
485.7158,0.40419
485.71585,0.4042
485.7159,0.4043
485.71595,0.4042
485.716,0.4042
485.71605,0.40422
485.7161,0.40419
485.71615,0.40436
485.7162,0.40419
485.71625,0.40426
485.7163,0.40426
485.71635,0.40437
485.7164,0.40417
485.71645,0.40423
485.7165,0.4042
485.71655,0.40425
485.7166,0.40423
485.71665,0.40423
485.7167,0.40411
485.71675,0.40411
485.7168,0.40432
485.71685,0.40438
485.7169,0.40414
485.71695,0.40436
485.717,0.40416
485.71705,0.40426
485.7171,0.40426
485.71715,0.40415
485.7172,0.40417
485.71725,0.40433
485.7173,0.4043
485.71735,0.40417
485.7174,0.40423
485.71745,0.40423
485.7175,0.40411
485.71755,0.40437
485.7176,0.40416
485.71765,0.4042
485.7177,0.40427
485.71775,0.40428
485.7178,0.40425
485.71785,0.40416
485.7179,0.40421
485.71795,0.40426
485.718,0.40437
485.71805,0.40431
485.7181,0.40421
485.71815,0.40426
485.7182,0.40408
485.71825,0.40432
485.7183,0.40422
485.71835,0.40422
485.7184,0.40433
485.71845,0.40422
485.7185,0.40422
485.71855,0.40417
485.7186,0.40421
485.71865,0.40425
485.7187,0.40415
485.71875,0.40414
485.7188,0.40426
485.71885,0.40428
485.7189,0.40423
485.71895,0.40428
485.719,0.40411
485.71905,0.40432
485.7191,0.4043
485.71915,0.40423
485.7192,0.40417
485.71925,0.40431
485.7193,0.40422
485.71935,0.4042
485.7194,0.40415
485.71945,0.40419
485.7195,0.40421
485.71955,0.40413
485.7196,0.40419
485.71965,0.40433
485.7197,0.40438
485.71975,0.40422
485.7198,0.40411
485.71985,0.40434
485.7199,0.40415
485.71995,0.40413
485.72,0.4043
485.72005,0.40433
485.7201,0.40428
485.72015,0.4042
485.7202,0.4042
485.72025,0.40421
485.7203,0.4041
485.72035,0.40422
485.7204,0.40426
485.72045,0.40413
485.7205,0.4043
485.72055,0.40416
485.7206,0.40422
485.72065,0.40421
485.7207,0.40425
485.72075,0.4042
485.7208,0.4043
485.72085,0.40423
485.7209,0.4042
485.72095,0.40432
485.721,0.40428
485.72105,0.4042
485.7211,0.40421
485.72115,0.40421
485.7212,0.40417
485.72125,0.40415
485.7213,0.40419
485.72135,0.40411
485.7214,0.40417
485.72145,0.40428
485.7215,0.40423
485.72155,0.40423
485.7216,0.40419
485.72165,0.40423
485.7217,0.40427
485.72175,0.40423
485.7218,0.40421
485.72185,0.40413
485.7219,0.40431
485.72195,0.40428
485.722,0.40423
485.72205,0.40427
485.7221,0.40416
485.72215,0.40442
485.7222,0.40425
485.72225,0.40415
485.7223,0.40419
485.72235,0.40427
485.7224,0.40406
485.72245,0.4042
485.7225,0.40421
485.72255,0.4042
485.7226,0.40431
485.72265,0.40416
485.7227,0.40423
485.72275,0.4043
485.7228,0.40426
485.72285,0.40425
485.7229,0.40416
485.72295,0.40414
485.723,0.40419
485.72305,0.40413
485.7231,0.40436
485.72315,0.40423
485.7232,0.40428
485.72325,0.40436
485.7233,0.40431
485.72335,0.40427
485.7234,0.40431
485.72345,0.40421
485.7235,0.40428
485.72355,0.40428
485.7236,0.40414
485.72365,0.40417
485.7237,0.4042
485.72375,0.4042
485.7238,0.40433
485.72385,0.40417
485.7239,0.40441
485.72395,0.40417
485.724,0.4043
485.72405,0.40432
485.7241,0.4043
485.72415,0.4042
485.7242,0.40419
485.72425,0.40423
485.7243,0.40415
485.72435,0.40421
485.7244,0.40426
485.72445,0.40425
485.7245,0.40428
485.72455,0.4042
485.7246,0.40413
485.72465,0.4042
485.7247,0.40415
485.72475,0.40421
485.7248,0.40415
485.72485,0.4042
485.7249,0.40415
485.72495,0.40419
485.725,0.40423
485.72505,0.40415
485.7251,0.40416
485.72515,0.40428
485.7252,0.40422
485.72525,0.40421
485.7253,0.40417
485.72535,0.40421
485.7254,0.40406
485.72545,0.4042
485.7255,0.40416
485.72555,0.4041
485.7256,0.40421
485.72565,0.40426
485.7257,0.40426
485.72575,0.40421
485.7258,0.40415
485.72585,0.4042
485.7259,0.4042
485.72595,0.40415
485.726,0.40423
485.72605,0.40415
485.7261,0.40428
485.72615,0.40432
485.7262,0.40426
485.72625,0.40422
485.7263,0.40417
485.72635,0.40423
485.7264,0.40434
485.72645,0.40432
485.7265,0.40421
485.72655,0.4043
485.7266,0.40416
485.72665,0.40426
485.7267,0.40439
485.72675,0.40434
485.7268,0.40419
485.72685,0.4042
485.7269,0.40422
485.72695,0.40431
485.727,0.40431
485.72705,0.40421
485.7271,0.40422
485.72715,0.40405
485.7272,0.40428
485.72725,0.40419
485.7273,0.40416
485.72735,0.40434
485.7274,0.40421
485.72745,0.40419
485.7275,0.40422
485.72755,0.40425
485.7276,0.40421
485.72765,0.40419
485.7277,0.40409
485.72775,0.40426
485.7278,0.40409
485.72785,0.4042
485.7279,0.40456
485.72795,0.40415
485.728,0.40417
485.72805,0.4043
485.7281,0.40425
485.72815,0.40426
485.7282,0.40419
485.72825,0.40417
485.7283,0.40426
485.72835,0.40425
485.7284,0.40419
485.72845,0.40427
485.7285,0.40417
485.72855,0.4041
485.7286,0.40409
485.72865,0.40427
485.7287,0.40422
485.72875,0.40439
485.7288,0.40421
485.72885,0.4042
485.7289,0.40434
485.72895,0.40439
485.729,0.40426
485.72905,0.4041
485.7291,0.40425
485.72915,0.40422
485.7292,0.40431
485.72925,0.4041
485.7293,0.40433
485.72935,0.40422
485.7294,0.40422
485.72945,0.40423
485.7295,0.40422
485.72955,0.40419
485.7296,0.40421
485.72965,0.40422
485.7297,0.40421
485.72975,0.40428
485.7298,0.40409
485.72985,0.40422
485.7299,0.40413
485.72995,0.40422
485.73,0.40414
485.73005,0.4041
485.7301,0.40413
485.73015,0.40422
485.7302,0.4043
485.73025,0.40422
485.7303,0.40422
485.73035,0.40419
485.7304,0.40425
485.73045,0.40413
485.7305,0.40432
485.73055,0.40425
485.7306,0.40427
485.73065,0.40422
485.7307,0.40416
485.73075,0.40427
485.7308,0.40423
485.73085,0.40416
485.7309,0.40419
485.73095,0.40416
485.731,0.40423
485.73105,0.40419
485.7311,0.40423
485.73115,0.40426
485.7312,0.4042
485.73125,0.4041
485.7313,0.40423
485.73135,0.40417
485.7314,0.40416
485.73145,0.40419
485.7315,0.40422
485.73155,0.40422
485.7316,0.4041
485.73165,0.40419
485.7317,0.40417
485.73175,0.4042
485.7318,0.40417
485.73185,0.40413
485.7319,0.40416
485.73195,0.40416
485.732,0.40417
485.73205,0.40433
485.7321,0.40428
485.73215,0.40434
485.7322,0.40427
485.73225,0.40416
485.7323,0.40421
