Wavelength,I,step
545.4963,0.45982,
545.49635,0.45951,
545.4964,0.45213,
545.49645,0.45256,
545.4965,0.45347,
545.49655,0.45042,
545.4966,0.45042,
545.49665,0.4456,
545.4967,0.4403,
545.49675,0.44036,
545.4968,0.44756,
545.49685,0.44225,
545.4969,0.44408,
545.49695,0.44377,
545.497,0.43481,
545.49705,0.44573,
545.4971,0.44402,
545.49715,0.44347,
545.4972,0.44243,
545.49725,0.43597,
545.4973,0.43469,
545.49735,0.44066,
545.4974,0.43932,
545.49745,0.44255,
545.4975,0.4392,
545.49755,0.4367,
545.4976,0.43688,
545.49765,0.4306,
545.4977,0.4381,
545.49775,0.43816,
545.4978,0.43133,
545.49785,0.43365,
545.4979,0.43621,
545.49795,0.43383,
545.498,0.43096,
545.49805,0.43243,
545.4981,0.43255,
545.49815,0.43188,
545.4982,0.42834,
545.49825,0.43072,
545.4983,0.43115,
545.49835,0.43109,
545.4984,0.42767,
545.49845,0.43212,
545.4985,0.42932,
545.49855,0.42718,
545.4986,0.43103,
545.49865,0.42737,
545.4987,0.42633,
545.49875,0.42913,
545.4988,0.42798,
545.49885,0.4273,
545.4989,0.42883,
545.49895,0.42712,
545.499,0.42389,
545.49905,0.42486,
545.4991,0.42779,
545.49915,0.4231,
545.4992,0.42413,
545.49925,0.42407,
545.4993,0.42541,
545.49935,0.42425,
545.4994,0.4259,
545.49945,0.42535,
545.4995,0.42267,
545.49955,0.42005,
545.4996,0.42462,
545.49965,0.42194,
545.4997,0.42151,
545.49975,0.41998,
545.4998,0.42029,
545.49985,0.42261,
545.4999,0.42371,
545.49995,0.42401,
545.5,0.42023,
545.50005,0.41913,
545.5001,0.42114,
545.50015,0.42413,
545.5002,0.42352,
545.50025,0.42145,
545.5003,0.42163,
545.50035,0.42059,
545.5004,0.42383,
545.50045,0.41937,
545.5005,0.41919,
545.50055,0.42151,
545.5006,0.41767,
545.50065,0.41937,
545.5007,0.41767,
545.50075,0.41907,
545.5008,0.4184,
545.50085,0.41889,
545.5009,0.41712,
545.50095,0.41651,
545.501,0.41773,
545.50105,0.41803,
545.5011,0.4173,
545.50115,0.41931,
545.5012,0.41919,
545.50125,0.41761,
545.5013,0.41779,
545.50135,0.41523,
545.5014,0.42029,
545.50145,0.41785,
545.5015,0.41388,
545.50155,0.41858,
545.5016,0.41639,
545.50165,0.4184,
545.5017,0.41645,
545.50175,0.41388,
545.5018,0.41639,
545.50185,0.41608,
545.5019,0.41449,
545.50195,0.41633,
545.502,0.41614,
545.50205,0.41334,
545.5021,0.41663,
545.50215,0.41602,
545.5022,0.4134,
545.50225,0.41285,
545.5023,0.41364,
545.50235,0.41456,
545.5024,0.41529,
545.50245,0.41358,
545.5025,0.41462,
545.50255,0.41382,
545.5026,0.41303,
545.50265,0.41169,
545.5027,0.41297,
545.50275,0.41407,
545.5028,0.41419,
545.50285,0.41053,
545.5029,0.41474,
545.50295,0.41236,
545.503,0.41077,
545.50305,0.41163,
545.5031,0.41071,
545.50315,0.41071,
545.5032,0.40913,
545.50325,0.41169,
545.5033,0.40937,
545.50335,0.4101,
545.5034,0.41035,
