Wavelength,I,Incrament,,Ambient Air
655.8739,0.40358,,,
655.87395,0.40345,,,
655.874,0.4037,,,
655.87405,0.40358,,,
655.8741,0.4037,,,
655.87415,0.40321,,,
655.8742,0.40364,,,
655.87425,0.40394,,,
655.8743,0.40388,,,
655.87435,0.40358,,,
655.8744,0.4037,,,
655.87445,0.40345,,,
655.8745,0.40364,,,
655.87455,0.40351,,,
655.8746,0.4037,,,
655.87465,0.40358,,,
655.8747,0.40364,,,
655.87475,0.40351,,,
655.8748,0.40339,,,
655.87485,0.40358,,,
655.8749,0.40345,,,
655.87495,0.404,,,
655.875,0.40351,,,
655.87505,0.40358,,,
655.8751,0.40358,,,
655.87515,0.40364,,,
655.8752,0.40345,,,
655.87525,0.40358,,,
655.8753,0.40358,,,
655.87535,0.40345,,,
655.8754,0.404,,,
655.87545,0.40388,,,
655.8755,0.40351,,,
655.87555,0.40358,,,
655.8756,0.40376,,,
655.87565,0.40345,,,
655.8757,0.4037,,,
655.87575,0.40376,,,
655.8758,0.40376,,,
655.87585,0.40388,,,
655.8759,0.40339,,,
655.87595,0.4037,,,
655.876,0.40339,,,
655.87605,0.40376,,,
655.8761,0.40345,,,
655.87615,0.40339,,,
655.8762,0.40364,,,
655.87625,0.40394,,,
655.8763,0.40351,,,
655.87635,0.40376,,,
655.8764,0.4037,,,
655.87645,0.40345,,,
655.8765,0.40376,,,
655.87655,0.4037,,,
655.8766,0.40364,,,
655.87665,0.40358,,,
655.8767,0.4037,,,
655.87675,0.40351,,,
655.8768,0.40351,,,
655.87685,0.40358,,,
655.8769,0.40419,,,
655.87695,0.40364,,,
655.877,0.40388,,,
655.87705,0.40364,,,
655.8771,0.40406,,,
655.87715,0.40376,,,
655.8772,0.40364,,,
655.87725,0.40351,,,
655.8773,0.40364,,,
655.87735,0.40351,,,
655.8774,0.40382,,,
655.87745,0.40358,,,
655.8775,0.40364,,,
655.87755,0.40364,,,
655.8776,0.40382,,,
655.87765,0.40345,,,
655.8777,0.40406,,,
655.87775,0.40345,,,
655.8778,0.40351,,,
655.87785,0.40364,,,
655.8779,0.40364,,,
655.87795,0.4037,,,
655.878,0.40388,,,
655.87805,0.4037,,,
655.8781,0.40376,,,
655.87815,0.404,,,
655.8782,0.40364,,,
655.87825,0.404,,,
655.8783,0.40364,,,
655.87835,0.40376,,,
655.8784,0.40364,,,
655.87845,0.40364,,,
655.8785,0.40376,,,
655.87855,0.40358,,,
655.8786,0.40351,,,
655.87865,0.40351,,,
655.8787,0.40345,,,
655.87875,0.40358,,,
655.8788,0.40364,,,
655.87885,0.40358,,,
655.8789,0.40382,,,
655.87895,0.4037,,,
655.879,0.404,,,
655.87905,0.40351,,,
655.8791,0.40351,,,
655.87915,0.40358,,,
655.8792,0.40364,,,
655.87925,0.40376,,,
655.8793,0.40358,,,
655.87935,0.40388,,,
655.8794,0.4037,,,
